[37198.871, 6926643.28]
[126804.206, 6954594.457]
[170221.0, 6976215.43]
[52980.903, 6950592.36]
[50680.892, 6910713.909]
[123299.669, 6957422.502]
[34695.518, 6925623.035]
[40239.494, 6940915.597]
[45910.588, 6943393.485]
[128113.613, 6950868.889]
[52998.679, 6950691.707]
[138520.783, 7003059.4]
[44513.821, 6965836.482]
[123427.526, 6957366.811]
[33233.687, 6919791.222]
[54420.465, 6951919.942]
[52978.964, 6950420.906]
[123698.721, 6957129.527]
[133830.196, 7002162.771]
[170120.706, 6974240.882]
[35318.243, 6926018.273]
[38589.363, 6917509.469]
[123824.96, 6957108.899]
[52040.379, 6908094.026]
[49121.512, 6910968.565]
[184859.069, 6959441.598]
[128345.102, 6995451.553]
[124334.893, 6957656.149]
[52420.827, 6951882.476]
[129041.079, 6947245.939]
[123439.482, 6957345.418]
[39284.351, 6927861.381]
[52656.553, 6951927.606]
[180350.826, 7020737.278]
[337184.611, 7036441.617]
[425290.501, 7256063.515]
[425901.309, 7274762.356]
[346847.188, 7030514.051]
[423246.179, 7226852.248]
[334852.0, 7038920.3]
[379774.801, 7161887.306]
[332073.129, 7039362.813]
[379489.017, 7161749.73]
[397433.918, 7181502.219]
[337299.599, 7036235.203]
[164554.9, 7012558.6]
[164801.552, 7012841.058]
[413036.762, 7201916.552]
[379529.593, 7161765.481]
[381833.953, 7163211.623]
[331669.591, 7039587.019]
[380301.815, 7162250.567]
[261932.729, 7001854.461]
[397942.27, 7182180.05]
[348532.409, 7029470.721]
[369850.887, 7150822.72]
[427191.003, 7268577.001]
[185301.26, 7021224.129]
[379114.094, 7161615.755]
[426818.499, 7268643.7]
[179036.585, 7020511.624]
[379967.004, 7161982.831]
[263892.889, 7028017.869]
[379904.404, 7161951.684]
[262845.601, 7011373.001]
[263948.101, 7027997.51]
[425928.899, 7274516.706]
[371974.601, 7153795.1]
[340591.869, 7033594.609]
[351299.221, 7027146.94]
[411401.976, 7202122.612]
[420567.261, 7218036.841]
[335892.509, 7038078.833]
[263195.552, 7025701.188]
[240371.037, 7030201.234]
[185446.631, 7021188.345]
[426214.998, 7268628.598]
[263094.97, 7025668.664]
[380001.963, 7162002.68]
[393152.251, 7176202.181]
[164836.298, 7012778.795]
[336258.086, 7037888.102]
[375842.118, 7159069.352]
[336837.743, 7037457.77]
[380991.136, 7163149.434]
[413025.902, 7201887.643]
[262607.977, 7011263.43]
[379804.829, 7161902.224]
[397998.573, 7182223.479]
[350483.13, 7027798.76]
[371775.5, 7143102.105]
[423588.978, 7228216.41]
[179804.932, 7020709.048]
[425914.1, 7274648.299]
[180782.449, 7020886.74]
[421938.921, 7278785.467]
[226218.992, 6952582.41]
[210973.211, 6951235.09]
[254354.021, 6986724.268]
[232087.513, 6954815.592]
[223210.376, 6945143.106]
[225085.67, 6949012.681]
[227637.665, 6951528.941]
[228266.488, 6951797.979]
[243983.467, 6966734.592]
[226756.459, 6952256.971]
[227380.027, 6951312.506]
[259176.621, 6993053.293]
[228041.944, 6951693.507]
[253829.32, 6986369.09]
[221952.599, 6954460.827]
[222844.921, 6944526.472]
[223183.002, 6945104.853]
[237776.31, 6957710.55]
[259283.309, 6993781.7]
[245958.099, 6976409.798]
[226756.459, 6952256.971]
[228333.031, 6951819.176]
[223385.721, 6945202.51]
[226218.992, 6952582.41]
[246035.761, 6975702.215]
[260025.801, 6997309.688]
[228333.031, 6951819.176]
[243431.2, 6965935.03]
[227087.699, 6952038.8]
[253939.092, 6986415.14]
[228606.831, 6951886.68]
[246130.728, 6963987.865]
[245936.282, 6976340.155]
[248083.128, 6980824.53]
[227380.027, 6951312.506]
[237776.31, 6957710.55]
[246350.608, 6975091.843]
[227087.699, 6952038.8]
[209729.517, 6951776.111]
[237756.781, 6957696.611]
[256104.117, 6988591.039]
[240820.482, 6961193.734]
[245940.237, 6975826.837]
[225085.67, 6949012.681]
[225496.482, 6952793.88]
[245929.113, 6964151.871]
[222309.997, 6954385.501]
[222309.997, 6954385.501]
[221952.599, 6954460.827]
[261901.879, 6998109.935]
[227604.448, 6951598.433]
[228041.944, 6951693.507]
[232087.513, 6954815.592]
[223210.376, 6945143.106]
[221485.372, 6942080.148]
[243963.699, 6967864.468]
[225888.84, 6950051.255]
[228606.831, 6951886.68]
[225496.482, 6952793.88]
[222844.921, 6944526.472]
[225888.84, 6950051.255]
[210973.211, 6951235.09]
[228266.488, 6951797.979]
[240820.482, 6961193.734]
[209729.517, 6951776.111]
[223385.721, 6945202.51]
[245857.582, 6976180.207]
[221485.372, 6942080.148]
[227643.534, 6951548.803]
[253864.302, 6986410.823]
[227637.665, 6951528.941]
[223183.002, 6945104.853]
[237756.781, 6957696.611]
[551094.027, 7569219.258]
[551302.091, 7569179.07]
[604363.296, 7606370.566]
[574731.471, 7581442.285]
[539859.741, 7497893.79]
[538851.771, 7538994.201]
[526546.412, 7471827.966]
[605066.777, 7605234.817]
[599510.856, 7593663.291]
[599553.406, 7593732.966]
[556566.75, 7554010.399]
[537015.517, 7558623.431]
[574297.269, 7581716.68]
[573334.636, 7581252.397]
[575290.981, 7580960.97]
[536035.246, 7555882.154]
[537633.599, 7497713.04]
[518476.88, 7409802.539]
[516728.191, 7460859.568]
[516078.061, 7460086.717]
[481495.295, 7463241.947]
[516657.919, 7460990.112]
[518669.261, 7460333.253]
[521412.781, 7411774.795]
[517037.192, 7460311.619]
[516891.204, 7460416.786]
[517108.487, 7460324.002]
[518671.783, 7459802.172]
[473787.833, 7463401.447]
[474085.671, 7462144.87]
[518161.711, 7460667.906]
[473862.09, 7463417.83]
[517357.518, 7460326.082]
[516370.421, 7460252.33]
[490222.358, 7464591.08]
[487133.051, 7465101.641]
[516098.399, 7460091.676]
[516510.907, 7460306.288]
[517182.559, 7460336.834]
[461555.285, 7355961.653]
[461233.72, 7354543.274]
[453928.41, 7349468.527]
[493861.901, 7372692.518]
[460905.57, 7354124.17]
[506074.254, 7369998.282]
[434327.298, 7326514.873]
[497246.865, 7375996.373]
[453843.913, 7348024.602]
[460702.796, 7354112.143]
[426012.871, 7311886.962]
[454243.598, 7275025.449]
[465275.958, 7355442.16]
[496222.838, 7376081.489]
[453960.36, 7348933.691]
[325725.712, 7076173.671]
[323061.284, 7086290.75]
[325661.43, 7077907.004]
[371388.947, 7137943.116]
[323201.746, 7086487.762]
[693235.7, 7690972.92]
[727461.299, 7720209.696]
[706687.255, 7707029.199]
[706946.778, 7704197.841]
[707576.881, 7704947.431]
[711924.25, 7747215.98]
[715385.559, 7724922.576]
[712210.627, 7746979.443]
[715412.877, 7731097.584]
[707780.349, 7705137.488]
[706744.145, 7707440.886]
[707099.386, 7706484.673]
[695598.14, 7694186.256]
[714595.018, 7731653.211]
[707179.667, 7706422.062]
[709508.32, 7722897.397]
[724635.138, 7723419.621]
[671214.301, 7702308.6]
[682115.098, 7685731.56]
[135592.742, 7018791.639]
[154832.051, 6992150.198]
[160940.694, 6988226.458]
[117754.774, 6983541.062]
[154814.342, 6992205.464]
[117976.706, 6983641.548]
[105054.978, 6981137.957]
[118283.913, 6983764.641]
[95053.886, 6966968.353]
[135565.718, 7014759.532]
[154758.401, 6992492.297]
[135054.899, 7018816.277]
[135615.6, 7018702.401]
[137593.488, 7017937.819]
[135643.161, 7018479.688]
[107681.645, 6962848.043]
[118112.512, 6983717.031]
[117327.431, 6983322.53]
[146558.818, 7005681.294]
[118232.732, 6983752.24]
[121511.97, 6985374.545]
[121702.833, 6985431.18]
[144274.051, 7006126.029]
[158831.283, 6986924.619]
[154469.672, 6994663.364]
[102863.083, 6980716.4]
[122261.793, 6985770.408]
[138218.022, 7017358.714]
[147514.546, 7004569.006]
[158516.559, 6986952.25]
[137488.107, 7018142.577]
[136196.221, 7018342.62]
[97608.504, 6966977.422]
[95112.259, 6966849.343]
[157776.162, 6987159.969]
[154779.405, 6993190.097]
[118685.423, 6983814.575]
[97620.983, 6966993.055]
[730584.476, 7751851.122]
[732799.039, 7753265.885]
[732785.251, 7753230.157]
[732257.001, 7751832.133]
[732492.761, 7752411.033]
[731822.468, 7751384.97]
[732198.553, 7751630.479]
[852368.552, 7717945.718]
[765500.498, 7763340.399]
[832355.83, 7693599.156]
[765995.951, 7763457.99]
[728683.4, 7753892.62]
[820615.541, 7675225.281]
[737759.309, 7766918.13]
[735087.262, 7755228.351]
[732329.779, 7752046.087]
[729147.172, 7753170.137]
[769399.359, 7774883.943]
[742159.239, 7767825.577]
[835093.124, 7649342.156]
[728789.3, 7753728.9]
[852443.504, 7717990.162]
[770103.665, 7784896.038]
[728723.528, 7753843.854]
[272391.461, 7039322.645]
[274230.084, 7041648.039]
[264845.598, 7030172.6]
[269183.601, 7037236.401]
[268402.935, 7032563.99]
[272554.328, 7039231.952]
[268978.489, 7042052.31]
[269164.6, 7035198.4]
[268939.7, 7035186.8]
[273619.78, 7042013.36]
[270899.403, 7042802.957]
[271495.538, 7039149.318]
[265002.614, 7029969.708]
[270052.081, 7038299.464]
[272451.562, 7039252.73]
[269585.049, 7040062.548]
[269933.591, 7038231.505]
[268368.158, 7032584.815]
[269616.851, 7039552.147]
[267770.181, 7031119.049]
[267593.572, 7031111.861]
[264768.973, 7030047.977]
[273466.036, 7042121.046]
[268934.019, 7041656.751]
[273469.653, 7042119.18]
[267567.025, 7031180.581]
